TICKET_ID,SUBMIT_DATE,SUBMIT_TIMESTAMP,CUSTOMER_ID,CUSTOMER_TIER,CHANNEL,PRIORITY,STATUS,PRODUCT_AREA,CLASSIFICATION,SENTIMENT,FIRST_RESPONSE_TIME_HOURS,RESOLUTION_TIME_HOURS,TICKET_SUBJECT,TICKET_DESCRIPTION,AGENT_NOTES
SP-2025-00011,2025-04-15,2025-04-15 21:18:12.399,CUS-92551,Pro,Email,Low,New,Crystal Integration Hub,Feature Request,Negative,13,646,Crystal Integration Hub Missing Critical Real-Time Data Sync - Urgent Enhancement Needed,"Dear Snow InsAIght Support Team,

I am writing to express my significant frustration with the current limitations of the Crystal Integration Hub, which is severely impacting our business operations and frankly making me question our Pro tier investment.

Our organization relies heavily on real-time data synchronization between our Salesforce CRM, HubSpot marketing platform, and internal PostgreSQL databases. However, the Crystal Integration Hub only supports batch processing with minimum 15-minute intervals, which is completely inadequate for our use case. We need true real-time streaming capabilities with sub-second latency for critical business decisions.

Currently, we're forced to maintain expensive custom API connections and middleware solutions that cost us an additional $3,000 monthly - money that should be unnecessary given what we're already paying for Snow InsAIght Pro. This defeats the entire purpose of having an integrated analytics platform.

Competitors like Tableau's Data Management platform and Microsoft Power BI's dataflows already offer real-time streaming connectors with sub-5-second refresh rates. It's frankly embarrassing that Snow InsAIght, supposedly a ""leading"" platform, lacks this fundamental capability in 2024.

We need the Crystal Integration Hub to support:
1. WebSocket-based real-time data streaming
2. Event-driven triggers for immediate data refresh
3. Configurable latency thresholds (ideally 1-5 seconds)
4. Real-time conflict resolution for concurrent data updates

This enhancement is critical for our Q2 expansion plans involving 12 additional data sources. Without this functionality, we're seriously considering migrating to a more capable platform, despite the significant switching costs.

I expect a concrete timeline for this feature implementation, not another generic ""we'll consider it for future releases"" response.

Regards,
Michael Chen
Senior Data Architecture Manager
TechFlow Solutions Inc.",Initial triage completed.
SP-2025-00012,2025-05-04,2025-05-04 23:20:12.399,CUS-27024,Pro,Mobile App,Low,Resolved,Iceberg Billing System,Feature Request,Negative,27,209,Urgent: Snow InsAIght Iceberg Billing lacks automated cost allocation features,"I'm extremely frustrated with the current limitations in Snow InsAIght's Iceberg Billing System. As a Pro tier customer, I expected much more sophisticated billing capabilities than what's currently available.

The main issue is that there's NO automated cost allocation functionality for our multi-department analytics workloads. We're running complex data pipelines across 8 different business units, and manually tagging every single query and dataset for cost tracking is absolutely ridiculous in 2024. This is eating up 15+ hours of my team's time every week just to generate accurate chargeback reports.

What we desperately need is an intelligent cost allocation engine that can:
- Automatically tag queries based on user department/project metadata
- Set up percentage-based cost splitting rules for shared resources
- Generate automated monthly chargeback reports by department
- Provide real-time cost alerts when departments exceed their allocated budgets

Currently, we're stuck exporting raw billing data to Excel and manually categorizing thousands of line items. This is completely unacceptable for a platform of Snow InsAIght's caliber. Competitors like DataBricks and Snowflake have had these features for YEARS.

Our current workaround involves creating separate workspaces for each department, but this creates data silos and prevents cross-departmental collaboration - defeating the entire purpose of having a unified analytics platform.

This limitation is seriously impacting our ability to scale our analytics initiatives and is causing significant friction with our finance team. We're paying premium Pro pricing but getting basic billing functionality. If this isn't addressed soon, we'll have to seriously reconsider our platform choice during our next renewal cycle.

Please escalate this to your product team immediately. This should be a top priority enhancement for the Iceberg Billing System.",Initial triage completed.
SP-2025-00013,2025-06-03,2025-06-03 19:16:12.399,CUS-19040,Basic,Phone,Medium,In Progress,Glacier Reports,Technical,Negative,13,33,Glacier Reports completely broken - getting GLACIER-404 error constantly,"Look, I'm really frustrated here because I've been trying to access my Glacier Reports for the past two hours and I keep getting this stupid GLACIER-404 error message every single time. I'm on my iPad running iOS and I've tried everything I can think of. I cleared my browser cache, I logged out and back in like three times, I even restarted my whole device but nothing works. Every time I click on Glacier Reports from the main dashboard, it just sits there loading for maybe thirty seconds and then boom - GLACIER-404 error pops up. This is really unacceptable because I have a presentation tomorrow morning and I need these reports to show my quarterly data trends. I mean, isn't this supposed to be a reliable platform? I'm paying for this service and it's just not working when I need it most. The error message doesn't even tell me what's wrong, it just says something about unable to retrieve glacier data or whatever. I tried accessing it from different sections of Snow InsAIght but same thing happens. Can someone please fix this immediately? I don't have time to mess around with troubleshooting steps - I just need my reports to work like they're supposed to.",Requested additional system logs.
SP-2025-00014,2025-05-18,2025-05-18 02:14:12.399,CUS-62539,Pro,Chat,Low,In Progress,Crystal Integration Hub,Billing,Negative,17,164,Charged twice for Crystal Integration Hub upgrade - need immediate refund,"This is absolutely ridiculous. I upgraded our Pro account to include the Crystal Integration Hub last week and you guys charged me TWICE for the same upgrade. I'm looking at my credit card statement right now and there's two identical charges from Snow InsAIght - one for $2,847 on March 15th and another for $2,847 on March 16th. Both reference invoice SP-INV-4729. How does this even happen?? I only clicked the upgrade button once in the billing portal. I've been trying to set up our Crystal connectors for our Salesforce and HubSpot data feeds but now I'm questioning if I even want to continue with this platform if your billing system is this broken. Our finance team is breathing down my neck about these duplicate charges and I need this fixed TODAY. I shouldn't have to pay $5,694 for a single upgrade that should only cost $2,847. This is affecting our entire Q1 budget and I'm seriously considering switching to a competitor if this isn't resolved immediately. Can someone please reverse one of these charges and confirm that our Crystal Integration Hub access is properly provisioned? We have 47 users on our account and they're all waiting to start using these new integration features.",Verified account details and billing history.
SP-2025-00015,2025-04-07,2025-04-07 20:43:12.399,CUS-45217,Enterprise,Email,High,Resolved,Peak Notification Center,Billing,Neutral,1,37,Billing Inquiry: Peak Notification Center Upgrade Charges on Invoice SP-INV-4782,"Dear Snow InsAIght Support Team,

I hope this message finds you well. I am writing to request clarification regarding billing charges that appeared on our recent invoice SP-INV-4782 dated November 15, 2024.

Our organization, DataFlow Enterprises, has been utilizing Snow InsAIght's analytics platform under our Enterprise subscription for the past 18 months. We recently noticed additional charges related to what appears to be an upgrade to the Peak Notification Center functionality, totaling $3,240 for the current billing cycle.

While we did implement enhanced alert configurations within the Peak Notification Center approximately six weeks ago to support our expanded user base of 450+ analysts, we were not aware that these modifications would trigger upgrade charges. Our understanding was that the Peak Notification Center features we activated were included within our existing Enterprise tier subscription.

Specifically, we configured:
- Advanced threshold monitoring for 12 critical business dashboards
- Multi-channel alert distribution (email, Slack, and SMS)
- Escalation workflows for our executive reporting suite

Could you please provide a detailed breakdown of these upgrade charges and clarify which specific Peak Notification Center features require additional licensing fees? Additionally, if there are alternative configuration options that would meet our notification requirements within our current subscription tier, we would appreciate your guidance.

I have attached our current subscription agreement for reference. Please let me know if you require any additional information to resolve this inquiry.

Thank you for your time and assistance.

Best regards,
Michael Chen
IT Finance Manager
DataFlow Enterprises
mchen@dataflow-ent.com
(555) 234-7890",Escalated to L2 support. Verified account details and billing history. Enterprise customer - prioritized handling.
SP-2025-00016,2025-05-22,2025-05-22 02:26:12.399,CUS-57648,Basic,Web Form,Low,Resolved,Avalanche API,Billing,Negative,33,48,Billing Error - Charged for Avalanche API After Downgrade Request,"I am extremely frustrated with the billing issues I've been experiencing with my Snow InsAIght account. On March 15th, I submitted a request through your platform to downgrade my subscription from Professional to Basic tier, specifically to remove access to the Avalanche API since we're no longer using those advanced analytics features. I received confirmation that the downgrade would take effect at the end of my billing cycle on March 31st.

However, I just received invoice SP-INV-4782 dated April 1st, and I'm still being charged $89/month for Avalanche API access that I explicitly requested to cancel! This is completely unacceptable. My Basic tier subscription should only be $29/month for up to 5 users, but instead I'm seeing charges for API calls (2,847 calls at $0.02 each) and the monthly API access fee that should have been removed.

I've tried logging into my account dashboard to verify the subscription changes, but the billing section still shows 'Professional - Avalanche API Enabled' even though it's been over a week since the supposed downgrade date. This is causing serious budget issues for our small business, and I need this resolved immediately.

I want the incorrect charges reversed on SP-INV-4782, confirmation that my account is properly downgraded to Basic tier, and assurance that future invoices will reflect the correct $29/month rate without any Avalanche API fees. This billing error has wasted hours of my time that I don't have.",Verified account details and billing history.
SP-2025-00017,2025-06-17,2025-06-17 11:58:12.399,CUS-86678,Basic,Chat,Low,Resolved,Snowflake Dashboard,Billing,Negative,18,266,Charged twice for Snow InsAIght Snowflake Dashboard - need refund ASAP,"Hi there, I'm really frustrated right now. I just checked my credit card statement and you guys charged me TWICE for my Snow InsAIght subscription this month. This is totally unacceptable.

I got invoice SP-INV-2847 on March 3rd for $89 which I already paid, but then another charge showed up on March 15th for the same amount with invoice SP-INV-2891. I only have 3 users on my Basic plan and we're barely using the Snowflake Dashboard features.

I've been trying to figure this out in my account settings but can't find any explanation. My subscription is supposed to be monthly billing on the 3rd, not twice a month! This double charge is messing up my business cash flow and I need this fixed immediately.

I want the second charge of $89 refunded back to my card today. This kind of billing error is really unprofessional and makes me question if I should stick with Snow InsAIght. I've been a customer for 8 months and never had issues like this before.

Can someone please explain what happened and get my money back? I shouldn't have to waste my time dealing with your billing mistakes.",Verified account details and billing history.
SP-2025-00018,2025-06-18,2025-06-18 01:33:12.399,CUS-86945,Pro,Mobile App,Medium,Closed,Avalanche API,Technical,Neutral,7,66,Avalanche API returning STORM-RATE-LIMIT error with Powder Analytics Engine,"Hi Snow InsAIght Support,

I'm experiencing consistent rate limiting issues when trying to execute batch queries through the Avalanche API on my mobile app. The error code STORM-RATE-LIMIT keeps appearing whenever I attempt to run analytics jobs through the Powder Analytics Engine.

Here's what I'm seeing:
- Error occurs when processing datasets larger than 50MB
- Happens specifically when using the mobile app on my iPhone (iOS 17.2)
- Desktop version on macOS works fine for the same queries
- Rate limit seems to trigger after only 3-4 API calls within a 5-minute window

Steps I've already tried:
1. Cleared app cache and reinstalled
2. Verified my Pro tier API limits in account settings (shows 1000 calls/hour)
3. Tested with smaller datasets - same issue persists
4. Switched between WiFi and cellular - no difference
5. Checked API documentation for mobile-specific rate limits

The Powder Analytics Engine processes these same queries successfully on desktop, so I suspect there might be different rate limiting applied to mobile API requests. My current usage is well below the documented Pro tier limits.

Could you please check if there are undocumented mobile-specific rate limits on the Avalanche API? This is impacting my ability to run time-sensitive analytics while traveling.

Account ID: PRO-7429
App Version: 3.2.1
Device: iPhone 14 Pro

Thanks for your help.",Requested additional system logs.
SP-2025-00019,2025-04-02,2025-04-02 00:57:12.399,CUS-56388,Pro,Email,High,New,Crystal Integration Hub,Technical,Negative,1,40,Critical Crystal Integration Hub Connection Failures - CHILL-SESSION-EXP Error,"Dear Snow InsAIght Support Team,

I am writing to express my serious frustration with the ongoing technical issues we are experiencing with the Crystal Integration Hub. This is completely unacceptable for a Pro-tier customer who relies on your platform for mission-critical business operations.

For the past three days, our team has been unable to establish stable connections through the Crystal Integration Hub to our primary data sources. We are consistently receiving the error code CHILL-SESSION-EXP, which appears to be related to session expiration issues, but this is occurring within minutes of establishing connections - far shorter than any reasonable timeout period.

The problem manifests specifically when accessing our Snowflake Dashboard through Firefox (version 119.0.1 on Windows 11). The integration appears to authenticate successfully, but then immediately fails when attempting to execute any data queries or refresh operations.

Steps we have already attempted:
1. Cleared browser cache and cookies completely
2. Disabled all browser extensions
3. Tested on multiple workstations with fresh Firefox installations
4. Verified our API credentials and regenerated authentication tokens
5. Attempted connections during different time periods to rule out server load issues
6. Reviewed our firewall settings and whitelisted all recommended Snow InsAIght domains

This issue is severely impacting our daily reporting capabilities and preventing our analytics team from delivering critical insights to executive leadership. We are paying premium rates for Pro-tier service and expect reliable, consistent performance.

I need this resolved immediately with a clear timeline for resolution. If this cannot be fixed within 24 hours, we will need to discuss escalation procedures and potential service credits for this extended downtime.

Please provide immediate technical assistance and a detailed explanation of what is causing these persistent CHILL-SESSION-EXP errors.

Regards,
Michael Chen
Senior Data Operations Manager
TechFlow Solutions Inc.
mchen@techflowsolutions.com
(555) 847-2931",Escalated to L2 support. Requested additional system logs.
SP-2025-00020,2025-05-13,2025-05-13 01:53:12.400,CUS-12091,Enterprise,Email,Medium,In Progress,Crystal Integration Hub,Technical,Negative,3,297,URGENT: Crystal Integration Hub Complete Failure - SNOW-500 Errors Blocking Production,"Dear Snow InsAIght Support Team,

I am writing to express my extreme frustration and concern regarding the complete failure of your Crystal Integration Hub service that began approximately 3 hours ago. This outage is causing catastrophic disruption to our enterprise operations and is completely unacceptable for a service of your supposed caliber.

Our production environment is experiencing continuous SNOW-500 errors when attempting to access any Crystal Integration Hub functionality. Every single data pipeline we have configured through your platform has failed, and we cannot establish connections to any of our critical data sources. This is affecting over 200 automated workflows that our business depends on daily.

Specific issues we're encountering:
- All Crystal Integration Hub dashboards return SNOW-500 errors immediately upon loading
- Alpine Campaign Builder cannot retrieve any data feeds, showing ""Service Unavailable"" messages
- Data synchronization jobs that were scheduled to run this morning have all failed
- API endpoints are completely unresponsive

I have already attempted the following troubleshooting steps:
- Cleared browser cache and cookies in Safari
- Tested from multiple devices and network connections
- Verified our API credentials and connection strings
- Restarted all scheduled integration jobs
- Contacted our internal IT team to rule out network issues

This appears to be a widespread system failure on your end, as evidenced by similar reports from our industry contacts who also use Snow InsAIght. The fact that we're paying premium enterprise rates for what is essentially a non-functional service right now is absolutely unacceptable.

We need immediate resolution and a detailed explanation of what caused this outage. Our SLA guarantees 99.9% uptime, and this incident is already in breach of that commitment.

Demanding urgent escalation and executive attention.

Regards,
Michael Chen
Director of Data Operations
Global Dynamics Corp
mchen@globaldynamics.com
+1-555-0147",Requested additional system logs. Enterprise customer - prioritized handling.
